r_id,hour,gen
4,2445,1.0
5,2445,1.0
6,2445,1.0
7,2445,1.0
8,2445,0.0
9,2445,0.0
10,2445,1.0
11,2445,0.0
12,2445,0.0
13,2445,1.0
20,2445,0.0
21,2445,0.0
22,2445,0.0
23,2445,1.0
24,2445,1.0
25,2445,1.0
26,2445,1.0
27,2445,1.0
28,2445,1.0
29,2445,0.0
30,2445,1.0
34,2445,0.0
35,2445,0.0
36,2445,0.0
38,2445,0.0
3,2446,1.0
4,2446,1.0
5,2446,1.0
6,2446,1.0
7,2446,1.0
8,2446,0.0
9,2446,0.0
10,2446,1.0
11,2446,0.0
12,2446,0.0
13,2446,1.0
20,2446,0.0
21,2446,0.0
22,2446,0.0
23,2446,1.0
24,2446,1.0
25,2446,1.0
26,2446,0.0
27,2446,0.0
28,2446,1.0
29,2446,0.0
30,2446,0.0
34,2446,0.0
35,2446,0.0
36,2446,0.0
38,2446,0.0
3,2447,1.0
4,2447,1.0
5,2447,1.0
6,2447,1.0
7,2447,1.0
8,2447,0.0
9,2447,0.0
10,2447,1.0
11,2447,0.0
12,2447,0.0
13,2447,1.0
20,2447,0.0
21,2447,0.0
22,2447,0.0
23,2447,1.0
24,2447,1.0
25,2447,0.0
26,2447,0.0
27,2447,0.0
28,2447,0.0
29,2447,0.0
30,2447,0.0
34,2447,0.0
35,2447,0.0
36,2447,0.0
38,2447,0.0
3,2448,1.0
4,2448,1.0
5,2448,1.0
6,2448,1.0
7,2448,1.0
8,2448,0.0
9,2448,0.0
10,2448,0.0
11,2448,0.0
12,2448,0.0
13,2448,0.0
20,2448,0.0
21,2448,0.0
22,2448,0.0
23,2448,0.0
24,2448,0.0
25,2448,0.0
26,2448,0.0
27,2448,0.0
28,2448,0.0
29,2448,0.0
30,2448,0.0
34,2448,0.0
35,2448,0.0
36,2448,0.0
38,2448,0.0
