MSN,YYYYMM,Value,Column_Order,Description,Unit
RERCBUS,201508,55.996,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201509,53.64,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201510,54.355,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201511,51.53,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201512,52.591,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201601,46.105,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201602,44.365,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201603,49.025,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201604,48.701,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201605,50.984,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201606,49.968,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201607,51.698,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201608,51.385,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201609,48.941,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201610,49.287,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201611,46.423,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201612,47.192,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201701,45.62,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201702,42.433,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201703,49.101,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201704,48.884,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201705,51.236,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201706,50.307,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201707,51.865,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201708,51.495,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201709,49.001,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201710,49.183,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201711,45.873,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201712,46.704,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201801,54.649,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201802,50.627,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201803,58.056,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201804,57.862,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201805,60.554,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
