r_id,hour,gen
12,2439,0.0
13,2439,0.0
20,2439,0.0
21,2439,0.0
22,2439,0.0
23,2439,0.0
24,2439,0.0
25,2439,0.0
26,2439,0.0
27,2439,0.0
28,2439,0.0
29,2439,0.0
30,2439,0.0
31,2439,0.0
32,2439,0.0
33,2439,2066.9598
34,2439,0.0
35,2439,0.0
36,2439,0.0
37,2439,0.0
38,2439,0.0
39,2439,0.0
40,2439,0.0
41,2439,0.0
42,2439,0.0
1,2440,0.39254799999980605
2,2440,42.00000000000005
3,2440,219.7702
4,2440,16.5
5,2440,24.7
6,2440,200.07
7,2440,0.0
8,2440,0.0
9,2440,0.0
10,2440,0.0
11,2440,0.0
12,2440,0.0
13,2440,0.0
20,2440,0.0
21,2440,0.0
22,2440,0.0
23,2440,0.0
24,2440,0.0
25,2440,0.0
26,2440,0.0
27,2440,0.0
28,2440,0.0
29,2440,0.0
30,2440,0.0
31,2440,24.63232
32,2440,3.184932
33,2440,1926.75
34,2440,0.0
35,2440,0.0
36,2440,0.0
37,2440,0.0
38,2440,0.0
39,2440,0.0
40,2440,0.0
41,2440,0.0
42,2440,0.0
1,2441,21.4
2,2441,42.000000000000085
3,2441,414.67706799999974
4,2441,16.5
5,2441,24.7
6,2441,570.0
7,2441,0.0
8,2441,0.0
9,2441,0.0
10,2441,0.0
11,2441,0.0
12,2441,0.0
13,2441,0.0
20,2441,0.0
21,2441,0.0
22,2441,0.0
23,2441,0.0
24,2441,0.0
25,2441,0.0
26,2441,0.0
27,2441,0.0
28,2441,0.0
29,2441,0.0
30,2441,0.0
31,2441,69.088
32,2441,3.184932
33,2441,1262.45
34,2441,0.0
35,2441,0.0
36,2441,0.0
37,2441,0.0
38,2441,0.0
39,2441,0.0
40,2441,0.0
41,2441,0.0
42,2441,0.0
1,2442,21.4
2,2442,42.00000000000004
3,2442,607.1
4,2442,29.999999999999545
5,2442,49.4
6,2442,570.0
7,2442,270.0212279999999
8,2442,0.0
9,2442,0.0
10,2442,0.0
11,2442,0.0
12,2442,0.0
13,2442,0.0
20,2442,0.0
21,2442,0.0
22,2442,0.0
23,2442,0.0
24,2442,0.0
25,2442,0.0
26,2442,0.0
27,2442,0.0
28,2442,0.0
29,2442,0.0
30,2442,0.0
31,2442,91.04384
32,2442,3.184932
33,2442,710.85
34,2442,0.0
35,2442,0.0
36,2442,0.0
37,2442,0.0
38,2442,0.0
39,2442,0.0
40,2442,0.0
41,2442,0.0
42,2442,0.0
1,2443,21.4
2,2443,42.0
3,2443,607.1
4,2443,30.0
5,2443,49.4
6,2443,570.0
7,2443,336.0
8,2443,0.0
9,2443,0.0
10,2443,49.9
11,2443,0.0
12,2443,0.0
13,2443,96.6
20,2443,0.0
21,2443,0.0
22,2443,0.0
23,2443,98.2
24,2443,98.2
25,2443,98.2
26,2443,34.37
27,2443,0.0
28,2443,87.78074800000059
29,2443,0.0
30,2443,0.0
31,2443,94.26432
32,2443,3.184932
33,2443,92.4
34,2443,0.0
35,2443,0.0
36,2443,0.0
37,2443,0.0
38,2443,0.0
39,2443,0.0
40,2443,0.0
41,2443,0.0
42,2443,0.0
1,2444,21.4
